# x |x| K_N count nontrivial_mass_2^-64 min_program
000000011100000110 18 18 90366 41549916274688 000000010001100000110110
000001110000011110 18 18 74031 41547802345472 00000100011000001110110
00010110001001100010 20 20 73073 41411957227520 00010001101001100010
000101100110001010 18 18 75207 40677551374336 000100010110011000101010
000110011001100010 18 18 74923 40594487377920 000100011001100110001010
000110010110001010 18 18 74389 40524459278336 000100011001011000101010
000101011000101010 18 18 74330 40510735515648 000100010101100010101010
000000010111011010 18 18 71822 40424517402624 00000001010001101011010
000000011001110110 18 18 71470 40388379279360 00000001100100011010110
000001100000001110 18 18 80919 39758831026176 000001000110000000111010
000101101000011010 18 18 68462 39490395570176 000100010110100001101010
000000000001111010 18 18 84150 39385873514496 000000000001001001111010
000110000110011010 18 18 71000 39311533670400 000100011000011001101010
000110000101101010 18 18 70907 39311265234944 000100011000010110101010
000000000110001110 18 18 81979 39227463041024 000000000100100110001110
000110000001110110 18 18 65326 39109166891008 00011000000100011010110
000110000000001110 18 18 77207 38989897662464 000100011000000000111010
000101100010011010 18 18 68431 38882775138304 000100010110001001101010
000101101001100010 18 18 68425 38881332297728 000100010110100110001010
000110011000001110 18 18 68112 38714986201088 000100011001100000111010
000101100000111010 18 18 67417 38575349432320 000100010110000011101010
000000000001101110 18 18 79784 38387176177664 000000000001001001101110
000000000111000110 18 18 78214 37440790200320 000000000100100111000110
000110011000011010 18 18 64536 37151785877504 000100011001100001101010
000101100001101010 18 18 64377 37122710962176 000100010110000110101010
000101101000001110 18 18 61095 36481536098304 000100010110100000111010
000110000001111010 18 18 62481 36130959392768 000100011000000111101010
000110000110001110 18 18 60170 34938535542784 000100011000011000111010
000000010110101110 18 18 62245 34355124633600 000000010010010110101110
000000011110011010 18 18 62133 34349638483968 000000010010011110011010
000110000001101110 18 18 58307 34055181565952 000100011000000110111010
000001011010001110 18 18 58826 33930241638400 000001001001011010001110
000000011100011110 18 18 56775 33385015672832 00000100001100110001110
000001011000110110 18 18 59772 33374613798912 000001001001011000110110
000001110011000110 18 18 59729 33372298543104 000001001001110011000110
000001100110001110 18 18 57519 32971339857920 000001001001100110001110
000000011100111010 18 18 59972 32960937984000 000000010001100110110110
000001011000111010 18 18 57430 32952549376000 000001001001011000111010
000000011100110110 18 18 59737 32928876724224 000000010001100111010110
000000010110110110 18 18 59774 32906344923136 000000010001011101010110
000000010111010110 18 18 59635 32897151008768 000000010001011011010110
000000000111110110 18 18 55457 32617139273728 00000001000011001111010
000000011001101110 18 18 58639 32526995292160 000000010010011001101110
000000011001111010 18 18 58566 32519378436096 000000010010011001111010
000000010111101010 18 18 58382 32490035085312 000000010010010111101010
000000010110111010 18 18 58368 32485136138240 000000010010010110111010
000001100001101110 18 18 58211 32483827515392 000001001001100001101110
000001100001111010 18 18 56922 32235004624896 000001001001100001111010
000000000111011110 18 18 54341 31859882852352 00000001000011001101110
000110000111000110 18 18 52189 31697697505280 000100011000011100011010
000000011110001110 18 18 53856 31616713883648 00000100001100111000110
000001011100011010 18 18 54891 31289675612160 000001001001011100011010
000001100111000110 18 18 54860 31288115331072 000001001001100111000110
000001110000111010 18 18 54240 30557534683136 000001001001110000111010
000001110000110110 18 18 53981 30467004825600 000001001001110000110110
000001011011000110 18 18 52637 30396976726016 000001001001011011000110
000001011101000110 18 18 52538 30381592018944 000001001001011101000110
0000000000000000110 19 19 99185 29943538909184 0000000000000000010010110
0000000101110110110 19 19 60054 29352897019904 00000001000101101010110
0000000111001110110 19 19 59850 29334072983552 00000001000110011010110
0000000111100011110 19 19 57410 28703585206272 00000001000110001101110
0000010111000100010 19 19 80340 28697595740160 000001000101111010100010
0000000000000011110 19 19 70559 27833703333888 01000110100000000011110
00010110100001110110 20 20 51069 27093911994368 000100011000110011010
0000011100000000010 19 19 79947 26900470693888 0000010001100000000010110
0000000111000000010 19 19 79785 26664264269824 0000000100011000000010110
0000000001110000010 19 19 79290 26511876816896 0000000001000110000010110
0000000000011100010 19 19 78587 26360395333632 0000000000010001100010110
0000000110000000110 19 19 76576 25841979359232 0000000100011000000011010
0000011000000000110 19 19 75445 25754519732224 0000010001100000000011010
