# x |x| K_N count nontrivial_mass_2^-64 min_program kt depth0 open_progs speed_nontrivial_lo_2^-128 speed_nontrivial_hi_2^-128 honest_nontrivial_lo_2^-128 honest_nontrivial_hi_2^-128 kt_program
000110000111010 15 15 396761 219541799960576 000100011000011101010 15 0 0 3398030014556203739058151821698143 3398030014556203739058151821836497 247445284684063486237215355143870 247445284684063486237215355469060 000100011000011101010
0000000000000010 16 16 846962 218976575553536 0000000000000001001010 16 0 0 3307945537003383925520434800455680 3307945537003383925520434800781852 232127099463998173762112269880761 232127099463998173762112270727718 0000000000000001001010
000001011010110 15 15 398321 212640735428608 000001001001011010110 15 0 0 3396274474749287449090434099234001 3396274474749287449090434099365964 240758961147833403406325743560206 240758961147833403406325743879602 000001001001011010110
000001110011010 15 15 397889 212584330428416 000001001001110011010 15 0 0 3396101236638952896385840593333423 3396101236638952896385840593465006 240709919401017143094156005494084 240709919401017143094156005813048 000001001001110011010
000110000110110 15 15 372874 206174586667008 000100011000011011010 15 0 0 3293675686527956641980942105427013 3293675686527956641980942105549150 233410505717752269085871512666035 233410505717752269085871512967337 000100011000011011010
000001100110110 15 15 365876 198440776630272 000001001001100110110 15 0 0 3190417688239427220404834293944485 3190417688239427220404834294062477 224890766996435444704597494435087 224890766996435444704597494722039 000001001001100110110
000001011101010 15 15 365912 198432278970368 000001001001011101010 15 0 0 3190197771716164799985941706646503 3190197771716164799985941706764581 224873684111271030264060384449632 224873684111271030264060384736620 000001001001011101010
000001100111010 15 15 365311 198354013257728 000001001001100111010 15 0 0 3190006184803433340678368856567540 3190006184803433340678368856685074 224807174776789454960390167755931 224807174776789454960390168042319 000001001001100111010
000001011011010 15 15 364021 198231455694848 000001001001011011010 15 0 0 3189352738153696552700263353846336 3189352738153696552700263353962883 224685444475643092895717873298347 224685444475643092895717873583445 000001001001011011010
000000011101110 15 15 366604 197042009800704 00000100001100110110 15 0 0 3160689798952097122892102829531341 3160689798952097122892102829642585 223251547805701724267463151556553 223251547805701724267463151841031 00000100001100110110
000000011110110 15 15 365916 197001878700032 00000100001100111010 15 0 0 3160526979720198988853546564209254 3160526979720198988853546564319922 223213845132838619499201821102163 223213845132838619499201821385953 00000100001100111010
0000000111101110 16 16 384849 188508647981056 00000001000110101110 16 0 0 2875632246497448274250177417641325 2875632246497448274250177417787045 199876249728867898406825220391322 199876249728867898406825220776170 00000001000110101110
0000000110000010 16 16 638327 187051219615744 0000000100011000001010 16 0 0 2858064988830782999674981879489428 2858064988830782999674981879723716 198528266412903259070191289545297 198528266412903259070191290183623 0000000100011000001010
0000000001100010 16 16 645504 186884932239360 0000000001000110001010 16 0 0 2855364082922858561325907683232657 2855364082922858561325907683466742 198345341489455732993573040917272 198345341489455732993573041562766 0000000001000110001010
0000011000000010 16 16 613263 184520426913792 0000010001100000001010 16 0 0 2823789979635990339470203690551257 2823789979635990339470203690778639 195886000971180430052240579228651 195886000971180430052240579841913 0000010001100000001010
