# kind bits n floor_beta floor_trans beta_hi_2^-128 trans_hi_2^-128 honest_hi_2^-128
unknown 00010001011010100000011001011000111010 38 53640 320000001 23078673364753547257628 3868562610677555201 23076952488356205258727
unknown 00010001011011010000001011010000110110 38 10000001 39993678 123793991549138872577 30953393165924381221 123793942031567011707
unknown 00010001100011000010101101000011011010 38 10000001 39996842 123793991549138872577 30950944559207456302 123793942031567011707
unknown 00010001100110001100001011010000110110 38 10000001 39993682 123793991549138872577 30953390070096078549 123793942031567011707
unknown 00010001101000000101011100010110011010 38 88508 320000001 13986758703002895499832 3868562610677555201 13986126618824343308243
unknown 00010001101000000101110011011001110110 38 4876 320000001 253884339476082911177015 3868562610677555201 253676237558479564528510
unknown 00010001101000000110010111011001100010 38 19124 320000001 64732275637177383125870 3868562610677555201 64718738983970110565618
unknown 00010001101000000110010111011001101110 38 22626 320000001 54713163585493691987056 3868562610677555201 54703492677215213208093
unknown 00010001101000000110010111011001111010 38 22626 320000001 54713163585493691987056 3868562610677555201 54703492677215213208093
unknown 00010001101000000111001100101110110110 38 87596 320000001 14132380922477970168720 3868562610677555201 14131735608280596745424
unknown 00010001101000010000011100110110011010 38 75870 320000001 16316594692044026293649 3868562610677555201 16315734497790814704631
unknown 00010001101000010000011100111010011010 38 75870 320000001 16316594692044026293649 3868562610677555201 16315734497790814704631
unknown 00010001101000010001011010011101000110 38 10000001 34999992 123793991549138872577 35369723492661949035 123793942031567011707
unknown 00010001101000010001101001011000001010 38 10000001 34999994 123793991549138872577 35369721471534545832 123793942031567011707
unknown 00010001101000010001110010110101000110 38 10000001 34999999 123793991549138872577 35369716418717048390 123793942031567011707
unknown 00010001101000010001110011010011000110 38 10000001 36666662 123793991549138872577 33762005368401963476 123793942031567011707
unknown 00010001101000010110000001110011011010 38 151675 320000001 8161793567070250699846 3868562610677555201 8161578328479092523680
unknown 00010001101000010110000110011000111010 38 10000001 36666679 123793991549138872577 33761989715113830596 123793942031567011707
unknown 00010001101000010110001100101101000110 38 10000001 35000051 123793991549138872577 35369663869500655154 123793942031567011707
unknown 00010001101000010110011000110000110110 38 10000001 39990526 123793991549138872577 30955832871150038760 123793942031567011707
unknown 00010001101000010110011001011000101010 38 10000001 40000098 123793991549138872577 30948425158492868565 123793942031567011707
unknown 00010001101000010110011001100000111010 38 10000001 33333466 123793991549138872577 37138053369108999194 123793942031567011707
unknown 00010001101000010110011001100011000110 38 10000001 36000083 123793991549138872577 34387144032011822720 123793942031567011707
unknown 00010001101000011000010110011000111010 38 10000001 38333643 123793991549138872577 32293827103397928418 123793942031567011707
unknown 00010001101000011000010111011100111010 38 10000001 154998753 123793991549138872577 7986774185759934952 123793942031567011707
unknown 00010001101000011000010111100111010110 38 765360 320000001 1617461115403705804980 3868562610677555201 1617452662112903500687
unknown 00010001101000011000011001011000111010 38 1472056 320000001 840959881475555464534 3868562610677555201 840957596351629875752
unknown 00010001101000011000011001110011000110 38 10000001 35000246 123793991549138872577 35369466811329848222 123793942031567011707
unknown 00010001101000011001011001011000101010 38 10000001 40000078 123793991549138872577 30948440632675273156 123793942031567011707
unknown 00010001101000011001100000011001111010 38 8705934 320000001 142194971761258501949 3868562610677555201 142194906428851236352
unknown 00010001101000011001100000011100110110 38 151686 320000001 8161201688259828032246 3868562610677555201 8160986480884569021684
unknown 00010001101000011001100000011100111010 38 10000001 79193446 123793991549138872577 15631849626614054337 123793942031567011707
unknown 00010001101000011001100110000110001110 38 10000001 36000050 123793991549138872577 34387175553516738863 123793942031567011707
unknown 00010100011000110000101101000011011010 38 10000001 39993681 123793991549138872577 30953390844053096161 123793942031567011707
unknown 00011001000110001100001011010000110110 38 10000001 39993683 123793991549138872577 30953389296139099640 123793942031567011707
unknown 01000001011101101100000011100101101010 38 71532 320000001 17306101315290782795101 3868562610677555201 17305133629017281856676
unknown 01000001110110000001011010010111010110 38 90 320000001 13754889325393114165545825 3868562610677555201 13169574886014683775522599
unknown 01000001110110000001100101110110011010 38 54 320000001 22924815542321856942576375 3868562610677555201 21343793780782418532743522
unknown 01000001110110000001110000111001111010 38 766573 320000001 1614901697927503675318 3868562610677555201 1614893271367886428760
unknown 01000100011000110100001011010000110110 38 10000001 39996839 123793991549138872577 30950946880711755119 123793942031567011707
unknown 01000100100110001100001011010000110110 38 10000001 39993678 123793991549138872577 30953393165924381221 123793942031567011707
unknown 01000101001010001100001011010000110110 38 10000001 39993678 123793991549138872577 30953393165924381221 123793942031567011707
unknown 01000101010110101010100000011100110110 38 151649 320000001 8163192894680349193857 3868562610677555201 8162977582279152241625
unknown 01000101010110101010100000011100111010 38 10000001 118896062 123793991549138872577 10411951568971058730 123793942031567011707
unknown 01000101011001101010100000011100110110 38 151665 320000001 8162331713219136088743 3868562610677555201 8162116446243993663169
unknown 01000101011001101010100000011100111010 38 10000001 118645756 123793991549138872577 10433917579701546804 123793942031567011707
unknown 01000101011010011010100000011100110110 38 151668 320000001 8162170261923281607849 3868562610677555201 8161955003463923960251
unknown 01000101011010011010100000011100111010 38 10000001 87593433 123793991549138872577 14132795083912058509 123793942031567011707
unknown 01000101011010100110100000011100110110 38 151664 320000001 8162385531737131256588 3868562610677555201 8162170261923281607849
unknown 01000101011010100110100000011100111010 38 10000001 69846235 123793991549138872577 17723790541972380830 123793942031567011707
unknown 01000101011010101000000101110100111010 38 1523487 320000001 812570136328948179341 3868562610677555201 812568002886384149890
unknown 01000101011010101000000110011100111010 38 2261430 320000001 547414706307681544377 3868562610677555201 547413738046469751008
unknown 01000101011010101000000111001011010110 38 71533 320000001 17305859383576534954485 3868562610677555201 17304891724357748785931
unknown 01000101011010101000000111001011011010 38 71533 320000001 17305859383576534954485 3868562610677555201 17304891724357748785931
unknown 01000101011010101000000111001011101010 38 71533 320000001 17305859383576534954485 3868562610677555201 17304891724357748785931
unknown 01000101011010101000000111001100111010 38 8307090 320000001 149022105127713829380 3868562610677555201 149022033371162078448
unknown 01000101011010101000000111001110011010 38 151682 320000001 8161416906985537340615 3868562610677555201 8161201688259828032246
unknown 01000101100000110100000011100101101010 38 71531 320000001 17306343253769418502456 3868562610677555201 17305375540440068147049
unknown 01000101100010100000011001011000111010 38 53640 320000001 23078673364753547257628 3868562610677555201 23076952488356205258727
unknown 01000101100011000100001011010000110110 38 10000001 39993680 123793991549138872577 30953391618010152477 123793942031567011707
unknown 01000101100011010000001011010000110110 38 10000001 39993677 123793991549138872577 30953393939881553650 123793942031567011707
unknown 01000101100101101010100000011100110110 38 151672 320000001 8161955003463923960251 3868562610677555201 8161739756358159991688
unknown 01000101100101101010100000011100111010 38 10000001 88965994 123793991549138872577 13914755330956907815 123793942031567011707
unknown 01000101100110011010100000011100110110 38 151684 320000001 8161309296203820277018 3868562610677555201 8161094083153448360445
unknown 01000101100110011010100000011100111010 38 10000001 87366627 123793991549138872577 14169484181704534329 123793942031567011707
unknown 01000101100110100110100000011100110110 38 151674 320000001 8161847378491898907520 3868562610677555201 8161632137062594937296
unknown 01000101100110100110100000011100111010 38 10000001 69581546 123793991549138872577 17791212044719159803 123793942031567011707
unknown 01000101100110101000000101110100111010 38 1521129 320000001 813829753614177545034 3868562610677555201 813827613552122184516
unknown 01000101100110101000000110011100111010 38 2266812 320000001 546115001722851420806 3868562610677555201 546114038053984211731
unknown 01000101100110101000000111001011101010 38 71536 320000001 17305133629017281856676 3868562610677555201 17304166050955832749499
unknown 01000101100110101000000111001100111010 38 8390602 320000001 147538882107074113979 3868562610677555201 147538811771805311190
unknown 01000101100110101000000111001110011010 38 151664 320000001 8162385531737131256588 3868562610677555201 8162170261923281607849
unknown 01000101101001011010100000011100110110 38 151652 320000001 8163031409314616852394 3868562610677555201 8162816105431900319797
